83: --- wins 🔵: 34, wins 🔴: 26, no winner: 23   ---   winrate 🔵: 0,409639, winrate 🔴: 0,313253   ---   clean winrate 🔵: 0,566667, clean winrate 🔴: 0,433333 ### player1bias: 46, 0,766667
84: --- wins 🔴: 26, wins 🔵: 34, no winner: 24   ---   winrate 🔴: 0,309524, winrate 🔵: 0,404762   ---   clean winrate 🔴: 0,433333, clean winrate 🔵: 0,566667 ### player1bias: 46, 0,766667
85: --- wins 🔵: 35, wins 🔴: 26, no winner: 24   ---   winrate 🔵: 0,411765, winrate 🔴: 0,305882   ---   clean winrate 🔵: 0,573770, clean winrate 🔴: 0,426230 ### player1bias: 47, 0,770492
86: --- wins 🔴: 26, wins 🔵: 36, no winner: 24   ---   winrate 🔴: 0,302326, winrate 🔵: 0,418605   ---   clean winrate 🔴: 0,419355, clean winrate 🔵: 0,580645 ### player1bias: 47, 0,758065
87: --- wins 🔵: 36, wins 🔴: 26, no winner: 25   ---   winrate 🔵: 0,413793, winrate 🔴: 0,298851   ---   clean winrate 🔵: 0,580645, clean winrate 🔴: 0,419355 ### player1bias: 47, 0,758065
88: --- wins 🔴: 27, wins 🔵: 36, no winner: 25   ---   winrate 🔴: 0,306818, winrate 🔵: 0,409091   ---   clean winrate 🔴: 0,428571, clean winrate 🔵: 0,571429 ### player1bias: 48, 0,761905
89: --- wins 🔵: 36, wins 🔴: 27, no winner: 26   ---   winrate 🔵: 0,404494, winrate 🔴: 0,303371   ---   clean winrate 🔵: 0,571429, clean winrate 🔴: 0,428571 ### player1bias: 48, 0,761905
90: --- wins 🔴: 28, wins 🔵: 36, no winner: 26   ---   winrate 🔴: 0,311111, winrate 🔵: 0,400000   ---   clean winrate 🔴: 0,437500, clean winrate 🔵: 0,562500 ### player1bias: 49, 0,765625
91: --- wins 🔵: 37, wins 🔴: 28, no winner: 26   ---   winrate 🔵: 0,406593, winrate 🔴: 0,307692   ---   clean winrate 🔵: 0,569231, clean winrate 🔴: 0,430769 ### player1bias: 50, 0,769231
92: --- wins 🔴: 28, wins 🔵: 38, no winner: 26   ---   winrate 🔴: 0,304348, winrate 🔵: 0,413043   ---   clean winrate 🔴: 0,424242, clean winrate 🔵: 0,575758 ### player1bias: 50, 0,757576
93: --- wins 🔵: 38, wins 🔴: 29, no winner: 26   ---   winrate 🔵: 0,408602, winrate 🔴: 0,311828   ---   clean winrate 🔵: 0,567164, clean winrate 🔴: 0,432836 ### player1bias: 50, 0,746269
94: --- wins 🔴: 30, wins 🔵: 38, no winner: 26   ---   winrate 🔴: 0,319149, winrate 🔵: 0,404255   ---   clean winrate 🔴: 0,441176, clean winrate 🔵: 0,558824 ### player1bias: 51, 0,750000
95: --- wins 🔵: 38, wins 🔴: 31, no winner: 26   ---   winrate 🔵: 0,400000, winrate 🔴: 0,326316   ---   clean winrate 🔵: 0,550725, clean winrate 🔴: 0,449275 ### player1bias: 51, 0,739130
96: --- wins 🔴: 32, wins 🔵: 38, no winner: 26   ---   winrate 🔴: 0,333333, winrate 🔵: 0,395833   ---   clean winrate 🔴: 0,457143, clean winrate 🔵: 0,542857 ### player1bias: 52, 0,742857
97: --- wins 🔵: 38, wins 🔴: 32, no winner: 27   ---   winrate 🔵: 0,391753, winrate 🔴: 0,329897   ---   clean winrate 🔵: 0,542857, clean winrate 🔴: 0,457143 ### player1bias: 52, 0,742857
98: --- wins 🔴: 32, wins 🔵: 39, no winner: 27   ---   winrate 🔴: 0,326531, winrate 🔵: 0,397959   ---   clean winrate 🔴: 0,450704, clean winrate 🔵: 0,549296 ### player1bias: 52, 0,732394
99: --- wins 🔵: 40, wins 🔴: 32, no winner: 27   ---   winrate 🔵: 0,404040, winrate 🔴: 0,323232   ---   clean winrate 🔵: 0,555556, clean winrate 🔴: 0,444444 ### player1bias: 53, 0,736111
100: --- wins 🔴: 33, wins 🔵: 40, no winner: 27   ---   winrate 🔴: 0,330000, winrate 🔵: 0,400000   ---   clean winrate 🔴: 0,452055, clean winrate 🔵: 0,547945 ### player1bias: 54, 0,739726
101: --- wins 🔵: 41, wins 🔴: 33, no winner: 27   ---   winrate 🔵: 0,405941, winrate 🔴: 0,326733   ---   clean winrate 🔵: 0,554054, clean winrate 🔴: 0,445946 ### player1bias: 55, 0,743243
102: --- wins 🔴: 34, wins 🔵: 41, no winner: 27   ---   winrate 🔴: 0,333333, winrate 🔵: 0,401961   ---   clean winrate 🔴: 0,453333, clean winrate 🔵: 0,546667 ### player1bias: 56, 0,746667
103: --- wins 🔵: 41, wins 🔴: 34, no winner: 28   ---   winrate 🔵: 0,398058, winrate 🔴: 0,330097   ---   clean winrate 🔵: 0,546667, clean winrate 🔴: 0,453333 ### player1bias: 56, 0,746667
104: --- wins 🔴: 35, wins 🔵: 41, no winner: 28   ---   winrate 🔴: 0,336538, winrate 🔵: 0,394231   ---   clean winrate 🔴: 0,460526, clean winrate 🔵: 0,539474 ### player1bias: 57, 0,750000
105: --- wins 🔵: 42, wins 🔴: 35, no winner: 28   ---   winrate 🔵: 0,400000, winrate 🔴: 0,333333   ---   clean winrate 🔵: 0,545455, clean winrate 🔴: 0,454545 ### player1bias: 58, 0,753247
106: --- wins 🔴: 36, wins 🔵: 42, no winner: 28   ---   winrate 🔴: 0,339623, winrate 🔵: 0,396226   ---   clean winrate 🔴: 0,461538, clean winrate 🔵: 0,538462 ### player1bias: 59, 0,756410
107: --- wins 🔵: 43, wins 🔴: 36, no winner: 28   ---   winrate 🔵: 0,401869, winrate 🔴: 0,336449   ---   clean winrate 🔵: 0,544304, clean winrate 🔴: 0,455696 ### player1bias: 60, 0,759494
108: --- wins 🔴: 37, wins 🔵: 43, no winner: 28   ---   winrate 🔴: 0,342593, winrate 🔵: 0,398148   ---   clean winrate 🔴: 0,462500, clean winrate 🔵: 0,537500 ### player1bias: 61, 0,762500
109: --- wins 🔵: 43, wins 🔴: 37, no winner: 29   ---   winrate 🔵: 0,394495, winrate 🔴: 0,339450   ---   clean winrate 🔵: 0,537500, clean winrate 🔴: 0,462500 ### player1bias: 61, 0,762500
110: --- wins 🔴: 38, wins 🔵: 43, no winner: 29   ---   winrate 🔴: 0,345455, winrate 🔵: 0,390909   ---   clean winrate 🔴: 0,469136, clean winrate 🔵: 0,530864 ### player1bias: 62, 0,765432
111: --- wins 🔵: 43, wins 🔴: 38, no winner: 30   ---   winrate 🔵: 0,387387, winrate 🔴: 0,342342   ---   clean winrate 🔵: 0,530864, clean winrate 🔴: 0,469136 ### player1bias: 62, 0,765432
112: --- wins 🔴: 39, wins 🔵: 43, no winner: 30   ---   winrate 🔴: 0,348214, winrate 🔵: 0,383929   ---   clean winrate 🔴: 0,475610, clean winrate 🔵: 0,524390 ### player1bias: 63, 0,768293
113: --- wins 🔵: 44, wins 🔴: 39, no winner: 30   ---   winrate 🔵: 0,389381, winrate 🔴: 0,345133   ---   clean winrate 🔵: 0,530120, clean winrate 🔴: 0,469880 ### player1bias: 64, 0,771084
114: --- wins 🔴: 40, wins 🔵: 44, no winner: 30   ---   winrate 🔴: 0,350877, winrate 🔵: 0,385965   ---   clean winrate 🔴: 0,476190, clean winrate 🔵: 0,523810 ### player1bias: 65, 0,773810
115: --- wins 🔵: 44, wins 🔴: 40, no winner: 31   ---   winrate 🔵: 0,382609, winrate 🔴: 0,347826   ---   clean winrate 🔵: 0,523810, clean winrate 🔴: 0,476190 ### player1bias: 65, 0,773810
116: --- wins 🔴: 40, wins 🔵: 44, no winner: 32   ---   winrate 🔴: 0,344828, winrate 🔵: 0,379310   ---   clean winrate 🔴: 0,476190, clean winrate 🔵: 0,523810 ### player1bias: 65, 0,773810
117: --- wins 🔵: 44, wins 🔴: 40, no winner: 33   ---   winrate 🔵: 0,376068, winrate 🔴: 0,341880   ---   clean winrate 🔵: 0,523810, clean winrate 🔴: 0,476190 ### player1bias: 65, 0,773810
118: --- wins 🔴: 40, wins 🔵: 44, no winner: 34   ---   winrate 🔴: 0,338983, winrate 🔵: 0,372881   ---   clean winrate 🔴: 0,476190, clean winrate 🔵: 0,523810 ### player1bias: 65, 0,773810
119: --- wins 🔵: 45, wins 🔴: 40, no winner: 34   ---   winrate 🔵: 0,378151, winrate 🔴: 0,336134   ---   clean winrate 🔵: 0,529412, clean winrate 🔴: 0,470588 ### player1bias: 66, 0,776471
120: --- wins 🔴: 41, wins 🔵: 45, no winner: 34   ---   winrate 🔴: 0,341667, winrate 🔵: 0,375000   ---   clean winrate 🔴: 0,476744, clean winrate 🔵: 0,523256 ### player1bias: 67, 0,779070
121: --- wins 🔵: 45, wins 🔴: 41, no winner: 35   ---   winrate 🔵: 0,371901, winrate 🔴: 0,338843   ---   clean winrate 🔵: 0,523256, clean winrate 🔴: 0,476744 ### player1bias: 67, 0,779070
